time,latitude,longitude,height
575.9925702,52.8270175,0.7271673,274.523
576.10603,52.8270131,0.7272045,274.656
576.2195001,52.8270088,0.727242,274.846
576.33302,52.8270046,0.7272794,275.084
576.4086201,52.8270005,0.7273168,275.304
576.52214,52.8269966,0.7273541,275.555
576.6356101,52.826993,0.7273916,275.823
576.7112601,52.8269891,0.7274291,276.127
576.8247201,52.8269857,0.7274667,276.397
576.9003801,52.8269823,0.7275043,276.689
577.01387,52.8269789,0.7275419,277.01
577.1273401,52.8269759,0.7275793,277.331
577.20296,52.826973,0.7276166,277.709
577.3542302,52.8269702,0.7276543,278.113
577.42992,52.8269677,0.7276918,278.535
577.5056601,52.8269653,0.7277294,278.969
577.6189702,52.826963,0.7277669,279.43
577.73247,52.826961,0.7278045,279.879
577.80809,52.8269591,0.7278421,280.301
577.92156,52.8269574,0.7278797,280.736
577.99721,52.8269556,0.7279172,281.154
578.1107001,52.826954,0.7279551,281.54
578.2242,52.8269526,0.7279924,281.928
578.2998199,52.8269514,0.7280299,282.306
578.41329,52.82695,0.7280676,282.745
578.5267501,52.8269488,0.7281051,283.221
578.6024001,52.8269476,0.728143,283.661
578.71596,52.8269462,0.7281808,284.143
578.82939,52.8269452,0.7282187,284.585
578.9049799,52.8269439,0.7282566,285.024
579.0185101,52.8269425,0.7282946,285.443
579.1319702,52.8269414,0.7283326,285.857
579.2077501,52.8269402,0.7283706,286.247
579.3210599,52.826939,0.7284089,286.631
579.3967102,52.8269377,0.7284475,286.985
579.51018,52.8269364,0.7284855,287.335
579.6236401,52.826935,0.728524,287.695
579.6993001,52.8269338,0.7285624,288.026
579.8127601,52.8269325,0.7286007,288.373
579.8884401,52.8269311,0.7286394,288.739
580.00191,52.8269297,0.7286777,289.086
580.1154602,52.8269283,0.7287159,289.445
580.2288401,52.8269268,0.7287541,289.819
580.3046401,52.8269253,0.7287925,290.203
580.4179502,52.8269235,0.7288309,290.525
580.4935801,52.8269217,0.7288694,290.786
580.60707,52.8269198,0.728908,291.081
580.72054,52.8269175,0.7289466,291.416
580.79619,52.8269153,0.728985,291.691
580.9475,52.8269127,0.7290235,291.957
581.0231202,52.8269102,0.7290623,292.199
581.0987701,52.8269074,0.7291006,292.432
581.2123001,52.8269046,0.729139,292.669
581.3257,52.8269018,0.7291774,292.878
581.40135,52.8268989,0.729216,293.036
581.5148201,52.8268958,0.7292543,293.214
581.6661501,52.8268926,0.7292928,293.403
581.70403,52.8268892,0.729331,293.569
581.8174601,52.8268856,0.7293694,293.72
581.8931701,52.8268822,0.7294079,293.859
582.0445101,52.8268786,0.7294461,293.993
582.1200399,52.8268749,0.7294842,294.161
582.1956601,52.826871,0.7295225,294.298
582.30913,52.8268672,0.7295605,294.418
582.4226201,52.8268635,0.7295985,294.567
582.49828,52.8268596,0.7296366,294.731
582.6117401,52.8268557,0.7296747,294.893
582.72521,52.8268517,0.7297126,295.051
582.8008602,52.8268477,0.7297504,295.256
582.91432,52.8268435,0.7297881,295.461
583.0278201,52.8268393,0.7298259,295.635
